,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,I,MUSIC,MYSTERY,O,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
0,1917,(2019),12,119.0,8.2,78.0,583067.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,24,(2001–2010),18,44.0,8.4,NaN,186769.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,300,(2006),18,117.0,7.6,52.0,819550.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,9-1-1,(2018– ),16,43.0,7.8,NaN,34393.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,9-1-1: Lone Star,(2020– ),12,43.0,7.1,NaN,15008.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5,A través del tiempo,(1989–1993),,60.0,8.2,NaN,32883.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,Abierto hasta el amanecer,(1996),18,108.0,7.2,48.0,315837.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7,Agentes de S.H.I.E.L.D.,(2013–2020),16,45.0,7.5,NaN,217351.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,Al borde del abismo,(2012),7,102.0,6.6,40.0,153307.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
9,Amanecer de los muertos,(2004),18,101.0,7.3,59.0,256731.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
10,Ambulance: Plan de huida,(2022),16,136.0,6.1,55.0,68228.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,Andor,(2022– ),14,40.0,8.3,NaN,55528.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Ant-Man y la Avispa: Quantumanía,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Arcane,(2021– ),16,41.0,9.0,NaN,203234.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,Archer,(2009– ),18,22.0,8.6,NaN,155071.0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Arrow,(2012–2020),16,42.0,7.5,NaN,431428.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,Ataque a los titanes,(2013–2023),16,24.0,9.0,NaN,369483.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
