,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,THRILLER,V,WAR,WESTERN
0,2001. Una odisea del espacio,(1968),A,149.0,8.3,84.0,666945.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,A través del tiempo,(1989–1993),,60.0,8.2,NaN,32883.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Agentes de S.H.I.E.L.D.,(2013–2020),16,45.0,7.5,NaN,217351.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Aliens. El regreso,(1986),13,137.0,8.4,84.0,715693.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
4,Andor,(2022– ),14,40.0,8.3,NaN,55528.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Animales fantásticos: Los secretos de Dumbledore,(2022),7,142.0,6.2,47.0,135255.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
6,Ant-Man y la Avispa: Quantumanía,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Apocalypto,(2006),18,139.0,7.8,68.0,313766.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Arcane,(2021– ),16,41.0,9.0,NaN,203234.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Arrow,(2012–2020),16,42.0,7.5,NaN,431428.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,Ataque a los titanes,(2013–2023),16,24.0,9.0,NaN,369483.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Avatar,(2009),7,162.0,7.8,83.0,1244714.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,Avatar. La leyenda de Aang,(2005–2008),10,23.0,9.3,NaN,313221.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,Avatar: El sentido del agua,(2022),,190.0,NaN,NaN,NaN,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Barbie,(2023),,NaN,NaN,NaN,NaN,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,Batman: La serie animada,(1992–1995),A,23.0,9.0,NaN,104062.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,Black Adam,(2022),12,125.0,7.0,41.0,115696.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,Black Panther,(2018),12,134.0,7.3,88.0,760364.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,Black Panther: Wakanda Forever,(2022),7,161.0,7.4,67.0,65627.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
