,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,N,ROMANCE,SCI-FI,SHORT,WAR
0,(Des)encanto,(2018– ),13,30.0,7.2,NaN,62138.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,Akira,(1988),13,124.0,8.0,67.0,187068.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Aladdín,(1992),A,90.0,8.0,86.0,419077.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Anastasia,(1997),T,94.0,7.1,61.0,124899.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Aqua Teen Forever: Plantasm,(2022),R,79.0,6.4,NaN,292.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,Arcane,(2021– ),16,41.0,9.0,NaN,203234.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Archer,(2009– ),18,22.0,8.6,NaN,155071.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Ataque a los titanes,(2013–2023),16,24.0,9.0,NaN,369483.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Atlantis: El imperio perdido,(2001),A,95.0,6.9,52.0,121069.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Avatar. La leyenda de Aang,(2005–2008),10,23.0,9.3,NaN,313221.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Batman y Superman: La Batalla de los Súper Hijos,(2022 Video),PG-13,79.0,6.7,NaN,1473.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
11,Batman: Caped Crusader,(2023– ),,NaN,NaN,NaN,NaN,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Batman: La LEGO película,(2017),A/i,104.0,7.3,75.0,152541.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Batman: La máscara del fantasma,(1993),7,76.0,7.8,65.0,51616.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Batman: La serie animada,(1992–1995),A,23.0,9.0,NaN,104062.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Belle,(2021),PG,121.0,7.1,83.0,12003.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Beowulf,(2007),13,115.0,6.3,59.0,168955.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,Berserk,(1997–1998),18,23.0,8.7,NaN,39566.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
