,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,B,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,G,HISTORY,HORROR,I,MUSIC,MUSICAL,O,R,ROMANCE,SHORT,SPORT,THRILLER,WAR,WESTERN
0,12 años de esclavitud,(2013),16,134.0,8.1,96.0,699557.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,127 horas,(2010),12,94.0,7.6,82.0,377689.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,42: La verdadera historia de una leyenda del deporte,(2013),7,128.0,7.5,62.0,96003.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3,A Friend of the Family,(2022),18,473.0,7.4,NaN,2386.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Aguas oscuras,(2019),7,126.0,7.6,73.0,89126.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5,Alejandro Magno,(2004),13,175.0,5.6,39.0,170604.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Alpha Dog,(2006),R,122.0,6.9,53.0,104043.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,Amadeus,(1984),A,160.0,8.4,88.0,400834.0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,American Crime Story,(2016– ),16,42.0,8.4,NaN,95481.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,American Gangster,(2007),18,157.0,7.8,76.0,427203.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,American Underdog,(2021),PG,112.0,7.1,53.0,15142.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
