,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,O,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR
0,10 razones para odiarte,(1999),13,97.0,7.3,70.0,343072.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,A Christmas Story Christmas,(2022),PG,98.0,8.0,62.0,8.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,A Magical Christmas Village,(2022 TV Movie),,84.0,6.2,NaN,441.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,A dos metros bajo tierra,(2001–2005),18,60.0,8.7,NaN,135367.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Acapulco,(2021– ),12,NaN,7.5,NaN,4072.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,After Life,(2019–2022),16,30.0,8.4,NaN,135432.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Almas en pena de Inisherin,(2022),R,114.0,8.2,87.0,12933.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,American Pie,(1999),18,95.0,7.0,58.0,407836.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Ant-Man y la Avispa: Quantumanía,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Aqua Teen Forever: Plantasm,(2022),R,79.0,6.4,NaN,292.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
