,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,I,M,MYSTERY,R,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER
0,12 hombres sin piedad,(1957),A,96.0,9.0,96.0,785990.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,24,(2001–2010),18,44.0,8.4,NaN,186769.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,A Friend of the Family,(2022),18,473.0,7.4,NaN,2386.0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Abierto hasta el amanecer,(1996),18,108.0,7.2,48.0,315837.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Al borde del abismo,(2012),7,102.0,6.6,40.0,153307.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,Ambulance: Plan de huida,(2022),16,136.0,6.1,55.0,68228.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,American Gigolo,(2022– ),,55.0,7.0,NaN,4100.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
7,American Psycho,(2000),18,102.0,7.6,64.0,612740.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8,Animal Kingdom,(2016–2022),18,60.0,8.2,NaN,38761.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Annika,(2021– ),,NaN,7.0,NaN,4346.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10,"Argentina, 1985",(2022),12,140.0,7.8,78.0,8062.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,Arrow,(2012–2020),16,42.0,7.5,NaN,431428.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,Baby Driver,(2017),16,113.0,7.6,86.0,535338.0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Babylon Berlin,(2017– ),18,45.0,8.4,NaN,24827.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14,Banshee,(2013–2016),18,60.0,8.4,NaN,104984.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,Barry,(2018– ),16,30.0,8.4,NaN,82213.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Batman: La serie animada,(1992–1995),A,23.0,9.0,NaN,104062.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,Better Call Saul,(2015–2022),16,46.0,8.9,NaN,520225.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Big Little Lies,(2017–2019),18,60.0,8.5,NaN,198556.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19,Big Sky,(2020– ),14,60.0,6.8,NaN,20581.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
