,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,D,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,NEWS,O,REALITY-TV,ROMANCE,SHORT,SPORT,THRILLER,U,WAR
0,11 Minutes,(2022),,194.0,7.7,NaN,199.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2000 Mules,(2022),,89.0,5.9,NaN,8582.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30 for 30,(2009– ),,60.0,8.8,NaN,5068.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,38 at the Garden,(2022),,38.0,7.2,NaN,468.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
4,48 Hours,(1988– ),,60.0,7.4,NaN,2040.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,60 Minutes,(1968– ),,60.0,7.5,NaN,3937.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6,9 to 5: Days in Porn,(2008),,113.0,6.3,NaN,2159.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,A Tree of Life,(2022),,80.0,6.9,NaN,87.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,A la caza del asesino,(II) (2021– ),16,NaN,7.1,NaN,3745.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9,"A los gatos, ni tocarlos: Un asesino en Internet",(2019),,187.0,8.0,NaN,54276.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10,AMC Visionaries: Historias de terror de Eli Roth,(2018–2021),16,42.0,8.0,NaN,2291.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Abducted in Plain Sight,(2017),13,91.0,6.8,NaN,19850.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Acosador nocturno: A la caza de un asesino en serie,(2021),16,189.0,7.5,NaN,26480.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
13,Addicted to Sexting,(2015),,80.0,3.9,NaN,824.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Alienígenas,(2009– ),,42.0,7.1,NaN,11373.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,All That Breathes,(2022),,97.0,7.4,88.0,187.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,All or Nothing: Arsenal,(2022),14,50.0,8.3,NaN,4599.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17,All the Beauty and the Bloodshed,(2022),,113.0,7.8,89.0,239.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,Alone,(2015– ),,44.0,8.4,NaN,5599.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,American Movie,(1999),13,107.0,7.8,84.0,18143.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Anthony Bourdain: Parts Unknown,(2013–2018),,42.0,8.8,NaN,6294.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,Apolo 11,(I) (2019),A,93.0,8.1,88.0,25590.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,"As Above, So Below: The Underworld of 'John Wick'",(2017 Video),,5.0,7.7,NaN,12258.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,Barbarians II,(2007– ),,188.0,7.3,NaN,61.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,Bilo jednom u Hrvatskoj,(2022),,NaN,3.0,NaN,210.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,Black Butterflies,(II) (2022),,120.0,6.4,NaN,17.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Blackfish,(2013),PG-13,83.0,8.1,83.0,68142.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,Brainwashed: Sex-Camera-Power,(2022),,107.0,6.4,61.0,181.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Buscadores de fantasmas,(2008– ),,45.0,7.3,NaN,9426.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,Cat Daddies,(2022),,89.0,8.3,NaN,58.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,Cazatesoros,(2010– ),,60.0,7.0,NaN,7875.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
31,Chef's Table,(2015–2019),7,50.0,8.5,NaN,15674.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,Comida para Phil,(2018– ),7,60.0,8.2,NaN,5521.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Conversaciones con asesinos: Las cintas de Jeffrey Dahmer,(2022),16,180.0,7.3,NaN,4870.0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Conversaciones con asesinos: Las cintas de John Wayne Gacy,(2022),,183.0,7.1,NaN,9540.0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Conversaciones con asesinos: Las cintas de Ted Bundy,(2019),16,236.0,7.7,NaN,30250.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,Corte de mangas a Wall Street: La saga GameStop,(2022),7,109.0,5.9,NaN,2301.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,Cosmos,(1980),,780.0,9.3,NaN,41206.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Cosmos: Una odisea en el espacio-tiempo,(2014),TP,557.0,9.3,NaN,121853.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Cosmos: otros mundos,(2020),TP,45.0,9.1,NaN,6541.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Crímenes imperfectos,(1996–2011),,30.0,8.8,NaN,6514.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Cunk on Earth,(2022– ),,29.0,8.4,NaN,644.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Cómo cambiar tu mente,(2022),16,212.0,7.9,NaN,1988.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
