,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR,WESTERN
0,1883,(2021–2022),,60.0,8.8,NaN,66289.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1899,(2022– ),,60.0,9.2,NaN,2363.0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,9-1-1,(2018– ),16,43.0,7.8,NaN,34393.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,A Friend of the Family,(2022),18,473.0,7.4,NaN,2386.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Aftersun,(II) (2022),R,102.0,7.7,95.0,3273.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Al descubierto,(2022),R,128.0,7.3,72.0,597.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6,Alaska Daily,(2022– ),,47.0,7.4,NaN,2159.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,Almas en pena de Inisherin,(2022),R,114.0,8.2,87.0,12933.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,American Beauty,(1999),18,122.0,8.4,84.0,1151495.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,American Gigolo,(2022– ),,55.0,7.0,NaN,4100.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,American Horror Story,(2011– ),18,60.0,8.0,NaN,318187.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11,American Psycho,(2000),18,102.0,7.6,64.0,612740.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,Anatomía de Grey,(2005– ),13,41.0,7.6,NaN,307464.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,Andor,(2022– ),14,40.0,8.3,NaN,55528.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Arcane,(2021– ),16,41.0,9.0,NaN,203234.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Armageddon Time,(2022),12,114.0,7.0,73.0,2189.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Ataque a los titanes,(2013–2023),16,24.0,9.0,NaN,369483.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Atlanta,(2016–2022),18,30.0,8.6,NaN,73440.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
18,Babylon,(I) (2022),,188.0,NaN,NaN,NaN,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,"Bardo, falsa crónica de unas cuantas verdades",(2022),12,159.0,7.5,51.0,1627.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Better Call Saul,(2015–2022),16,46.0,8.9,NaN,520225.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Big Sky,(2020– ),14,60.0,6.8,NaN,20581.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
22,Black Mirror,(2011–2019),16,60.0,8.8,NaN,542977.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
23,Black Panther: Wakanda Forever,(2022),7,161.0,7.4,67.0,65627.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Blonde,(2022),18,167.0,5.5,50.0,48816.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,Blue Bloods,(2010– ),12,43.0,7.7,NaN,40745.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,BoJack Horseman,(2014–2020),16,25.0,8.8,NaN,156171.0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Bones,(2005–2017),12,40.0,7.8,NaN,159784.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,Breaking Bad,(2008–2013),16,49.0,9.5,NaN,1862848.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,Breathe: Into the Shadows,(2020– ),14,46.0,7.6,NaN,16874.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30,"Buffy, cazavampiros",(1997–2003),13,44.0,8.3,NaN,147445.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
