,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DOCUMENTARY,DRAMA,F,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
0,2000 Mules,(2022),,89.0,5.5,NaN,8988.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Alicia en el País de las Maravillas,(I) (2010),7,108.0,6.4,53.0,415672.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2,Animales fantásticos: Los secretos de Dumbledore,(2022),7,142.0,6.2,47.0,135255.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3,Aquaman,(2018),12,143.0,6.8,55.0,472522.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4,Aquaman and the Lost Kingdom,(2023),,NaN,NaN,NaN,NaN,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Arcane,(2021– ),16,41.0,9.0,NaN,203234.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Ataque a los titanes,(2013–2023),16,24.0,9.0,NaN,369483.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Avatar,(2009),7,162.0,7.8,83.0,1244714.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8,Avatar. La leyenda de Aang,(2005–2008),10,23.0,9.3,NaN,313221.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Avatar: El sentido del agua,(2022),,190.0,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10,Barbie,(2023),,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,Beetlejuice 2,,,NaN,NaN,NaN,NaN,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
12,Bitelchús,(1988),A,92.0,7.5,70.0,306592.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,Black Adam,(2022),12,125.0,7.0,41.0,115696.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14,Black Panther: Wakanda Forever,(2022),7,161.0,7.4,67.0,65627.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
15,Bleach: Burîchi,(2004–2012),13,24.0,8.2,NaN,56017.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,Bleach: Thousand Year Blood War,(2022– ),,24.0,9.5,NaN,9045.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Bob Esponja,(1999– ),TP,23.0,8.2,NaN,99147.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
18,Brahmastra Part One: Shiva,(2022),,167.0,5.6,57.0,102623.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
19,Bruja Escarlata y Visión,(2021),9+,350.0,7.9,NaN,321272.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
20,"Buffy, cazavampiros",(1997–2003),13,44.0,8.3,NaN,147445.0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
21,Caballero Luna,(2022),16,NaN,7.3,NaN,226025.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
22,Carnival Row,(2019–2023),16,56.0,7.8,NaN,63342.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
23,Casa Búho,(2020–2023),TP,22.0,8.4,NaN,12055.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,Cazafantasmas: Más allá,(2021),12,124.0,7.1,45.0,180506.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,Chainsaw Man,(2022– ),,NaN,8.8,NaN,10974.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,Charlie y la fábrica de chocolate,(2005),A,115.0,6.7,72.0,480814.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
27,Coco,(I) (2017),A,105.0,8.4,81.0,503416.0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,Constantine,(2005),18,121.0,7.0,50.0,347965.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
29,Crepúsculo,(I) (2008),12,122.0,5.3,56.0,462948.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
30,Crónicas vampíricas,(2009–2017),16,43.0,7.7,NaN,321308.0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
31,DC Liga de Supermascotas,(2022),TP,105.0,7.3,56.0,60634.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Daredevil,(2015–2018),18,54.0,8.6,NaN,439572.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,Death Note,(2006–2007),7,24.0,9.0,NaN,321614.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
34,Del revés (Inside Out),(I) (2015),A,95.0,8.2,94.0,710229.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Demon Slayer: Kimetsu no Yaiba,(2019– ),Not Rated,24.0,8.7,NaN,101451.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dentro del laberinto,(1986),A,101.0,7.3,50.0,138325.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
37,Desencantada: Vuelve Giselle,(2022),PG,NaN,NaN,NaN,NaN,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,Destino: La saga Winx,(2021–2022),16,NaN,6.8,NaN,47810.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,Doctor Strange en el multiverso de la locura,(2022),12,126.0,6.9,60.0,403696.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,Doctor Strange. Doctor Extraño,(2016),7,115.0,7.5,72.0,739214.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,Doctor Sueño,(2019),16,152.0,7.3,59.0,193425.0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
42,Drácula de Bram Stoker,(1992),18,128.0,7.4,57.0,219236.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
43,Dungeons & Dragons: Honor Among Thieves,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
44,Eduardo Manostijeras,(1990),A,105.0,7.9,74.0,491112.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
45,El Dragón de Papá,(2022),PG,99.0,6.7,74.0,731.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,El Grinch,(2000),A,104.0,6.2,46.0,246606.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
47,El Grinch,(2018),A/i,85.0,6.3,51.0,70816.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,El Pacificador,(2022– ),16,40.0,8.3,NaN,109305.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,El cuervo,(1994),18,102.0,7.5,71.0,185647.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
50,El descubrimiento de las brujas,(2018–2022),12,60.0,7.9,NaN,53202.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
51,El faro,(I) (2019),16,109.0,7.4,83.0,216548.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
52,El hijo bastardo y el mismísimo diablo,(2022– ),16,60.0,7.6,NaN,5032.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
53,El hobbit: La desolación de Smaug,(2013),12,161.0,7.8,66.0,663192.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,El hobbit: Un viaje inesperado,(2012),7,169.0,7.8,58.0,827059.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
55,El hombre del norte,(2022),16,137.0,7.1,82.0,189136.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
56,El laberinto del fauno,(2006),18,118.0,8.2,98.0,668156.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
57,El mago de Oz,(1939),A,102.0,8.1,92.0,399588.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
58,El país de los sueños,(2022),PG,117.0,7.4,40.0,47.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
