,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,-,ACTION,ADVENTURE,BIOGRAPHY,COMEDY,CRIME,DRAMA,F,FILM-NOIR,HORROR,I,L,M,MYSTERY,ROMANCE,SCI-FI,SPORT,THRILLER
0,A Life at Stake,(1955),,78,5.8,NaN,809,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,A través de la noche,(1942),,107,7.1,NaN,4493,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2,A través del espejo,(1946),13,85,7.1,NaN,5147,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
3,Abandoned,(1949),,79,6.6,NaN,512,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
4,Acosados,(1946),,86,6.5,NaN,2148,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
5,Acto de violencia,(1948),,82,7.5,NaN,5280,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
6,Agente especial,(1955),12,87,7.3,NaN,7759,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
7,Al borde del peligro,(1950),,95,7.6,NaN,9248,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
8,Al rojo vivo,(1949),,114,8.1,NaN,33300,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
9,Alma en suplicio,(1945),13,111,7.9,88.0,26269,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
10,Almas desnudas,(1949),,82,7.1,NaN,5143,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
11,Amor que mata,(1947),,108,7.1,NaN,5565,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
12,Asesinato por contrato,(1958),,81,7.3,NaN,3709,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
13,Astucia de mujer,(1953),,69,6.7,NaN,2173,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
14,Atraco perfecto,(1956),A,84,8.0,91.0,90451,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
15,Atrapados,(1949),,88,7.0,NaN,3923,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
16,Aves de rapiña,(1948),,89,6.9,NaN,604,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
17,Aviso de tormenta,(1951),,93,7.2,NaN,1907,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
18,Backlash,(1947),,66,6.0,NaN,425,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
19,Berlín Express,(1948),,87,6.8,NaN,3335,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
20,Brigada 21,(1951),18,103,7.5,78.0,8650,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
21,Brighton Rock,(1947),,92,7.3,NaN,6339,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
22,Calle River 99,(1953),,83,7.4,NaN,3059,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,Calle sin salida,(1937),12,93,7.2,NaN,7841,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
24,Callejón sin salida,(1947),,100,7.1,NaN,7982,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
