,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,I,NEWS,O,REALITY-TV,ROMANCE,S,SPORT,T,THRILLER,WAR
0,'Allo 'Allo!,(1982–1992),,45.0,8.4,NaN,25564.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1,12 años de esclavitud,(2013),16,134.0,8.1,96.0,699557.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2,12 valientes,(2018),16,130.0,6.5,54.0,82590.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,13 horas: Los soldados secretos de Bengasi,(2016),16,144.0,7.3,48.0,143953.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4,1899,(2022– ),,60.0,9.2,NaN,2363.0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
5,21: Black Jack,(2008),13,123.0,6.8,48.0,252934.0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6,Across the Universe,(2007),7,133.0,7.3,56.0,111103.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
7,Aguas oscuras,(2019),7,126.0,7.6,73.0,89126.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,Al descubierto,(2022),R,128.0,7.3,72.0,597.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,Alejandro Magno,(2004),13,175.0,5.6,39.0,170604.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Alienígenas,(2009– ),,42.0,7.1,NaN,11407.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
11,American Animals,(2018),R,116.0,7.0,68.0,45402.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,Amistad,(1997),T,155.0,7.3,63.0,77810.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
13,Ammonite,(2020),16,120.0,6.5,72.0,18697.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
14,Apolo 13,(I) (1995),A,140.0,7.7,77.0,295984.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15,Arde Mississippi,(1988),18,128.0,7.8,65.0,101535.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
16,"Argentina, 1985",(2022),12,140.0,7.8,78.0,8062.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Arriba y abajo,(1971–1975),,60.0,8.4,NaN,3250.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
18,Así nos ven,(2019),16,296.0,8.9,NaN,121172.0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,Babylon,(I) (2022),,188.0,NaN,NaN,NaN,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20,Babylon Berlin,(2017– ),18,45.0,8.4,NaN,24827.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
21,Becoming Elizabeth,(2022),,60.0,6.9,NaN,2262.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22,Benedetta,(2021),16,131.0,6.8,73.0,19415.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
23,Billy el Niño,(2022– ),,49.0,7.2,NaN,3945.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Black Hawk derribado,(2001),13,144.0,7.7,74.0,397227.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
25,Braveheart,(1995),18,178.0,8.4,68.0,1034904.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26,Britannia,(2017– ),18,60.0,6.8,NaN,16355.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
27,Buscadores de fantasmas,(2008– ),,45.0,7.3,NaN,9453.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
28,Bárbaros,(2020– ),16,280.0,7.2,NaN,26508.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Calígula,(1979),X,137.0,5.3,NaN,36165.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
30,Camino a la libertad,(I) (2010),7,133.0,7.3,66.0,117304.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
31,Chernobyl,(2019),16,330.0,9.4,NaN,744622.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
32,Chevalier,(2022),PG-13,107.0,7.2,67.0,93.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
33,Cleopatra,(1963),14,192.0,7.0,60.0,33767.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
34,Cold Mountain,(2003),18,154.0,7.2,73.0,149710.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35,Colette,(I) (2018),12,111.0,6.7,74.0,24020.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
36,Compliance,(2012),R,90.0,6.4,68.0,35049.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
37,Cuando habla el corazón,(2014– ),12,43.0,7.9,NaN,13231.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
