,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,MUSICAL,MYSTERY,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,THRILLER,WESTERN
0,1899,(2022– ),,60.0,9.2,NaN,2363.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,28 días después,(2002),18,113.0,7.5,73.0,415543.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2,28 días paranormales,(2022– ),,30.0,3.4,NaN,1884.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
3,28 semanas después,(2007),18,100.0,6.9,78.0,277877.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4,A serbian film,(2010),(Banned),104.0,5.0,NaN,65125.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
5,Abbott y Costello contra los fantasmas,(1948),,83.0,7.3,NaN,18007.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6,Abierto hasta el amanecer,(1996),18,108.0,7.2,48.0,315837.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
7,"Alien, el octavo pasajero",(1979),16,117.0,8.5,89.0,878617.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
8,Alien: Covenant,(2017),16,122.0,6.4,65.0,282350.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
9,Amanecer de los muertos,(2004),18,101.0,7.3,59.0,256731.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10,American Horror Stories,(2021– ),18,45.0,6.2,NaN,21762.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
11,American Horror Story,(2011– ),18,60.0,8.0,NaN,318187.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
12,American Psycho,(2000),18,102.0,7.6,64.0,612740.0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
