,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SHORT,TALK-SHOW,THRILLER,U
0,54,(1998),R,93.0,5.8,33.0,33453.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,8 millas,(2002),18,110.0,7.2,77.0,290644.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2,9 Songs,(2004),18,71.0,4.8,43.0,22863.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3,A Nashville Christmas Carol,(2020 TV Movie),,84.0,6.3,NaN,1163.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4,A propósito de Llewyn Davis,(2013),12,104.0,7.4,93.0,154845.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5,Across the Universe,(2007),7,133.0,7.3,56.0,111103.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Aline,(II) (2020),12,126.0,6.3,53.0,2586.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,All That Jazz (Empieza el espectáculo),(1979),14,123.0,7.8,72.0,32358.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
8,All Too Well: The Short Film,(2021),,10.0,8.4,NaN,13343.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
9,Ally McBeal,(1997–2002),13,45.0,6.9,NaN,33848.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Alta fidelidad,(2000),7,113.0,7.4,79.0,181197.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11,Alvin y las ardillas,(2007),A,92.0,5.2,39.0,86650.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,Alvin y las ardillas 2,(2009),A,88.0,4.5,41.0,49799.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Alvin y las ardillas 3,(2011),A,87.0,4.3,24.0,35941.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Alvin y las ardillas: Fiesta sobre ruedas,(2015),A/i,92.0,4.9,33.0,20113.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,Amadeus,(1984),A,160.0,8.4,88.0,400834.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
16,American Pie presenta Band Camp,(2005 Video),13,87.0,5.0,NaN,72653.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
17,Andhadhun,(2018),,139.0,8.2,NaN,93533.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
18,Atlanta,(2016–2022),18,30.0,8.6,NaN,73440.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
19,August Rush (El triunfo de un sueño),(2007),A,114.0,7.4,38.0,107999.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
