,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,I,M,MUSIC,MUSICAL,ROMANCE,S,SCI-FI,SHORT,U
0,Across the Universe,(2007),7,133.0,7.3,56.0,110994.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
1,Aladdin 2,(2025),,NaN,NaN,NaN,NaN,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,Aladdín,(1992),A,90.0,8.0,86.0,418119.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Aladdín,(2019),A,128.0,6.9,53.0,265142.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,Alicia en el País de las Maravillas,(1951),,75.0,7.4,68.0,142587.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,All That Jazz (Empieza el espectáculo),(1979),14,123.0,7.8,72.0,32285.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
6,Alvin y las ardillas,(2007),A,92.0,5.2,39.0,86441.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Alvin y las ardillas 2,(2009),A,88.0,4.5,41.0,49690.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Alvin y las ardillas 3,(2011),A,87.0,4.3,24.0,35872.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alvin y las ardillas: Fiesta sobre ruedas,(2015),A/i,92.0,4.9,33.0,20050.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Anastasia,(1997),T,94.0,7.1,61.0,124621.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Annette,(2021),16,141.0,6.3,67.0,19887.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
12,Annie,(1982),A,126.0,6.6,39.0,45963.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
13,Annie,(2014),A,118.0,5.3,33.0,38220.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
14,Bailar en la oscuridad,(2000),13,140.0,7.9,61.0,110429.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
15,Barrio Sésamo,(1969– ),,55.0,8.1,NaN,14060.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,Belle,(2021),PG,121.0,7.1,83.0,11779.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
17,Big Time Rush,(2009–2013),,25.0,6.4,NaN,12590.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
18,Bingo y Rolly,(2017– ),,24.0,6.9,NaN,1106.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,Blancanieves y los siete enanitos,(1937),T,83.0,7.6,95.0,199945.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20,Blue's Big City Adventure,(2022),,82.0,NaN,NaN,NaN,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
21,Blues Brothers 2000,(1998),A,123.0,4.9,NaN,33570.0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Bob's Burgers: La película,(2022),PG-13,102.0,7.0,75.0,16570.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,"Bugsy Malone, nieto de Al Capone",(1976),,93.0,6.8,71.0,18123.0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Burlesque,(I) (2010),A,119.0,6.4,47.0,86593.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
25,Cabaret,(1972),,124.0,7.8,80.0,55509.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
26,Camelot,(1967),18,179.0,6.5,70.0,6860.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Campfire Christmas,(2022 TV Movie),,84.0,5.5,NaN,422.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
28,Cantando bajo la lluvia,(1952),A,103.0,8.3,99.0,242205.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
29,Cats,(2019),A,110.0,2.8,32.0,51541.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
30,Cenicienta,(I) (2021),3,113.0,4.3,41.0,42164.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
31,Central Park,(2020– ),7,25.0,6.8,NaN,3735.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
32,Charlie y la fábrica de chocolate,(2005),A,115.0,6.7,72.0,479801.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
33,Chicago,(2002),7,113.0,7.2,81.0,230883.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,Chitty Chitty Bang Bang,(1968),,144.0,6.9,64.0,46603.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
35,Crazy Ex-Girlfriend,(2015–2019),16,42.0,7.8,NaN,20590.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36,Cry-Baby (El lágrima),(1990),13,85.0,6.4,63.0,61088.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,Cyrano,(2021),12,123.0,6.4,66.0,10364.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
38,Dando la nota,(2006),18,94.0,6.8,55.0,109814.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
39,Dentro del laberinto,(1986),A,101.0,7.3,50.0,137946.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
40,Descubriendo a los Robinsons,(2007),G,95.0,6.8,61.0,101026.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,Desencantada: Vuelve Giselle,(2022),PG,NaN,NaN,NaN,NaN,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,Don't Hug Me I'm Scared,(2022– ),,23.0,8.8,NaN,2412.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
43,Dreamgirls,(2006),7,130.0,6.6,76.0,74240.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
44,Dumbo,(1941),A,64.0,7.2,96.0,132637.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
