,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,M,MYSTERY,ROMANCE,S,SCI-FI,SHORT,T,THRILLER,WAR,Y
0,1899,(2022– ),,60.0,9.2,NaN,2363.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,A la caza,(1980),18,102.0,6.5,43.0,24115.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,A serbian film,(2010),(Banned),104.0,5.0,NaN,65125.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
3,A través del tiempo,(1989–1993),,60.0,8.2,NaN,32883.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,Aguas profundas,(I) (2022),Not Rated,115.0,5.4,53.0,45677.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,American Gigolo,(2022– ),,55.0,7.0,NaN,4100.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,American Horror Stories,(2021– ),18,45.0,6.2,NaN,21762.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
7,Annika,(2021– ),,NaN,7.0,NaN,4346.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Ant-Man y la Avispa: Quantumanía,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Apocalypse Now,(1979),18,147.0,8.5,94.0,665468.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
10,Arrow,(2012–2020),16,42.0,7.5,NaN,431428.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,Avatar. La leyenda de Aang,(2005–2008),10,23.0,9.3,NaN,313221.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,Banshee,(2013–2016),18,60.0,8.4,NaN,104984.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,Batman: La serie animada,(1992–1995),A,23.0,9.0,NaN,104062.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,Big Little Lies,(2017–2019),18,60.0,8.5,NaN,198556.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
15,Big Sky,(2020– ),14,60.0,6.8,NaN,20581.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
16,Black Mirror,(2011–2019),16,60.0,8.8,NaN,542977.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
