,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,N,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR,WESTERN
0,10 razones para odiarte,(1999),13,97.0,7.3,70.0,342079.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,17 otra vez,(2009),13,102.0,6.4,48.0,202216.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,22.11.63,(2016),,60.0,8.1,NaN,86775.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,365 días,(2020),18,114.0,3.3,NaN,89925.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4,365 días más,(2022),18,112.0,2.7,NaN,6165.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,A Cozy Christmas Inn,(2022 TV Movie),,84.0,6.1,NaN,234.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6,A Kismet Christmas,(2022 TV Movie),,84.0,6.7,NaN,246.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,A Million Little Things,(2018– ),,43.0,7.9,NaN,13751.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,A por todas,(2000),A,98.0,6.1,52.0,97363.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
9,After. Amor Infinito,(2022),12,119.0,4.5,NaN,4356.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
10,After. En mil pedazos,(2020),12,105.0,5.0,14.0,32185.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,After: Aquí empieza todo,(I) (2019),12,105.0,5.3,30.0,55867.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
12,Aladdín,(2019),A,128.0,6.9,53.0,265142.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,Ally McBeal,(1997–2002),13,45.0,6.9,NaN,33751.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Amar,(2017),13,105.0,5.1,NaN,4662.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,Amelie,(2001),A,122.0,8.3,69.0,754471.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
16,American Gigolo,(2022– ),,55.0,7.1,NaN,3502.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17,Amor a quemarropa,(1993),18,119.0,7.9,59.0,227366.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,Amor redentor,(2022),PG-13,134.0,6.7,32.0,7373.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
19,Amor zombie,(2014),12,89.0,5.6,50.0,21744.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,Anatomía de Grey,(2005– ),13,41.0,7.6,NaN,306582.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
21,Antes de amanecer,(1995),T,101.0,8.1,77.0,307381.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
22,Antes de ti,(2016),12,106.0,7.4,51.0,252811.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,Aquellos maravillosos 70,(1998–2006),13,22.0,8.1,NaN,171142.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
24,Asteroid City,(2022),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
25,Barbie,(2023),,NaN,NaN,NaN,NaN,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,Big Bang,(2007–2019),7,22.0,8.2,NaN,803413.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
27,Big Mouth,(2017– ),16,30.0,7.9,NaN,78513.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
28,Blonde,(2022),18,167.0,5.5,50.0,46389.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
29,Bones,(2005–2017),12,40.0,7.8,NaN,159279.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Bros,(I) (2022),12,115.0,6.4,74.0,17281.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
31,Bruja Escarlata y Visión,(2021),9+,350.0,7.9,NaN,319896.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,"Buffy, cazavampiros",(1997–2003),13,44.0,8.3,NaN,147107.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,Call Me by Your Name,(2017),12,132.0,7.8,93.0,270915.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
34,Casablanca,(1942),A,102.0,8.5,100.0,569567.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
35,Castle,(2009–2016),7,43.0,8.1,NaN,162450.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,Cazadores de sombras: Ciudad de hueso,(2013),12,130.0,5.8,33.0,134773.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,Cincuenta sombras de Grey,(2015),18,125.0,4.1,46.0,320423.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
38,Cincuenta sombras más oscuras,(2017),18,118.0,4.5,33.0,103217.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
39,Closer,(I) (2004),18,104.0,7.2,65.0,219545.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
40,Clueless (Fuera de onda),(1995),A,97.0,6.9,68.0,218678.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
41,College Romance,(2018– ),,30.0,8.4,NaN,26982.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,Con derecho a roce,(2011),12,109.0,6.5,63.0,369223.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
43,Corazones malheridos,(2022),,122.0,6.7,30.0,35623.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
44,Crazy Rich Asians,(2018),7,120.0,6.9,74.0,172667.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
45,"Crazy, Stupid, Love.",(2011),7,118.0,7.4,68.0,520215.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,Crepúsculo,(I) (2008),12,122.0,5.3,56.0,461410.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
