,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,-,ACTION,ADVENTURE,ANIMATION,C,COMEDY,CRIME,DRAMA,F,FAMILY,FANTASY,HORROR,I,MYSTERY,ROMANCE,S,SCI-FI,SHORT,THRILLER
0,2001. Una odisea del espacio,(1968),A,149.0,8.3,84.0,666945.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,28 días después,(2002),18,113.0,7.5,73.0,415543.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
2,28 semanas después,(2007),18,100.0,6.9,78.0,277877.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,A través del tiempo,(1989–1993),,60.0,8.2,NaN,32883.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Agentes de S.H.I.E.L.D.,(2013–2020),16,45.0,7.5,NaN,217351.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,Al filo del mañana,(2014),12,113.0,7.9,71.0,676744.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6,"Alien, el octavo pasajero",(1979),16,117.0,8.5,89.0,878617.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
7,Aliens. El regreso,(1986),13,137.0,8.4,84.0,715693.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,Alita: Ángel de combate,(2019),12,122.0,7.3,53.0,267654.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9,Altered Carbon,(2018–2020),16,60.0,7.9,NaN,169880.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10,American Horror Story,(2011– ),18,60.0,8.0,NaN,318187.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
11,Andor,(2022– ),14,40.0,8.3,NaN,55528.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,Aniquilación,(I) (2018),16,115.0,6.8,79.0,326473.0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
13,Ant-Man y la Avispa: Quantumanía,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
