,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,FILM-NOIR,HISTORY,MUSICAL,MYSTERY,O,P,R,REALITY-TV,ROMANCE,S,SCI-FI,SPORT,T,TALK-SHOW,THRILLER
0,17 otra vez,(2009),13,102.0,6.4,48.0,202653.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,30 for 30,(2009– ),,60.0,8.8,NaN,5077.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,42 segundos,(2022),12,106.0,6.8,NaN,463.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,42: La verdadera historia de una leyenda del deporte,(2013),7,128.0,7.5,62.0,96003.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,83,(2021),7,162.0,7.5,NaN,37631.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,A por todas,(2000),A,98.0,6.1,52.0,97478.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
6,A por todas: Todo o nada,(2006 Video),13,99.0,5.5,NaN,21109.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,Acero puro,(2011),A,127.0,7.0,56.0,330151.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
8,Ahora o nunca,(2009–2012),,45.0,7.5,NaN,10123.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9,Airborne,(1993),PG,91.0,6.2,28.0,7091.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10,Ali,(2001),13,157.0,6.7,65.0,100401.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
11,All American,(2018– ),16,45.0,7.6,NaN,11571.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12,All American: Homecoming,(2022– ),,42.0,6.1,NaN,844.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
13,American Underdog,(2021),PG,112.0,7.1,53.0,15142.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
14,Aviones,(2013),A,91.0,5.7,39.0,45761.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,Baki,(2018–2020),,45.0,6.7,NaN,6531.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Ballers,(2015–2019),18,30.0,7.6,NaN,44633.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
17,Baseketball,(1998),13,103.0,6.5,38.0,62706.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
18,Bigger,(2018),PG-13,107.0,6.4,37.0,2787.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
19,Billy Lynn,(2016),12,113.0,6.2,53.0,22951.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20,Blue Lock,(2022– ),,22.0,8.4,NaN,1656.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
21,Blue Mountain State,(2010–2011),,22.0,8.3,NaN,54172.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22,Boyka: Invicto 4,(2016 Video),R,86.0,6.9,NaN,29517.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
23,Bronce,(2015),R,100.0,6.1,44.0,12790.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
24,Campeón de campeones,(1989),A,97.0,6.4,26.0,14262.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
25,Campo de sueños,(1989),A,107.0,7.5,57.0,120342.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Capitanes,(2022),7,38.0,6.3,NaN,137.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
27,Carros de fuego,(1981),A,125.0,7.1,78.0,61050.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
28,Cars,(2006),A,117.0,7.2,73.0,421607.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,Cars 2,(2011),A/i,106.0,6.2,57.0,191230.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,Cars 3,(2017),A,102.0,6.7,59.0,100988.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,Cars en la carretera,(2022– ),,NaN,7.0,NaN,2305.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,Challengers,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
33,Children of Heaven,(1997),13,89.0,8.2,77.0,75189.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
34,Cinderella Man. El hombre que no se dejó tumbar,(2005),13,144.0,8.0,69.0,188721.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
35,Coach Carter,(2005),13,136.0,7.3,57.0,150413.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
36,Cobra Kai,(2018– ),13,30.0,8.5,NaN,184581.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,Contacto sangriento,(1988),18,92.0,6.8,29.0,86053.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,Creed II. La leyenda de Rocky,(2018),16,130.0,7.1,66.0,126183.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
39,Creed III,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
40,Creed. La leyenda de Rocky,(II) (2015),12,133.0,7.6,82.0,274575.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
41,Cuestión de pelotas,(2004),13,92.0,6.7,55.0,250899.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42,Dangal,(2016),A,161.0,8.3,NaN,191196.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
