,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FANTASY,H,HISTORY,HORROR,I,L,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
0,24,(2001–2010),18,44.0,8.4,NaN,186769.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,28 días después,(2002),18,113.0,7.5,73.0,415543.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2,9-1-1,(2018– ),16,43.0,7.8,NaN,34393.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Agentes de S.H.I.E.L.D.,(2013–2020),16,45.0,7.5,NaN,217351.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Al borde del abismo,(2012),7,102.0,6.6,40.0,153307.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5,Ambulance: Plan de huida,(2022),16,136.0,6.1,55.0,68228.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,American Gigolo,(2022– ),,55.0,7.0,NaN,4100.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7,American Horror Stories,(2021– ),18,45.0,6.2,NaN,21762.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
8,American Horror Story,(2011– ),18,60.0,8.0,NaN,318187.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
9,Andor,(2022– ),14,40.0,8.3,NaN,55528.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,Ant-Man y la Avispa: Quantumanía,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Babylon Berlin,(2017– ),18,45.0,8.4,NaN,24827.0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
12,Banshee,(2013–2016),18,60.0,8.4,NaN,104984.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,Barbarian,(2022),R,102.0,7.1,78.0,78539.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
14,Big Sky,(2020– ),14,60.0,6.8,NaN,20581.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
15,Black Mirror,(2011–2019),16,60.0,8.8,NaN,542977.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
16,Black Panther: Wakanda Forever,(2022),7,161.0,7.4,67.0,65627.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,Black Phone,(2021),16,103.0,6.9,65.0,132209.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
18,Blade Runner,(1982),13,117.0,8.1,84.0,767135.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19,Blade Runner 2049,(2017),12,164.0,8.0,81.0,567672.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
20,Blue Bloods,(2010– ),12,43.0,7.7,NaN,40745.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
21,Bodies Bodies Bodies,(2022),R,94.0,6.3,69.0,28340.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
22,Breaking Bad,(2008–2013),16,49.0,9.5,NaN,1862848.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
23,Breathe: Into the Shadows,(2020– ),14,46.0,7.6,NaN,16874.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
24,Brothers (Hermanos),(I) (2009),16,105.0,7.1,58.0,128415.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
25,Bullet Train,(2022),16,127.0,7.3,49.0,176503.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
26,C.S.I.,(2000–2015),13,60.0,7.7,NaN,84237.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
27,Candy: Asesinato en Texas,(2022),18,257.0,7.2,NaN,15022.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,Carnival Row,(2019–2023),16,56.0,7.8,NaN,63342.0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Caso abierto,(2003–2010),13,44.0,7.6,NaN,27993.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
30,Caza al asesino,(2015),12,115.0,5.8,39.0,41581.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,Chainsaw Man,(2022– ),,NaN,8.8,NaN,10974.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,Chernobyl,(2019),16,330.0,9.4,NaN,744622.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
33,Chicago P.D.,(2014– ),16,43.0,8.1,NaN,38689.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Chucky,(2021– ),18,42.0,7.3,NaN,20332.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
35,Cincuenta sombras de Grey,(2015),18,125.0,4.1,46.0,320734.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
36,Cisne negro,(2010),12,108.0,8.0,79.0,765363.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
37,Colombo,(1971–2003),16,100.0,8.3,NaN,35623.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
38,Crimen en el paraíso,(2011– ),TP,60.0,7.8,NaN,21338.0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,Criminal Minds: Evolution,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
40,Crónicas vampíricas,(2009–2017),16,43.0,7.7,NaN,321308.0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
41,Cyberpunk: Edgerunners,(2022– ),16,24.0,8.4,NaN,42210.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,Dahmer - Monstruo: La historia de Jeffrey Dahmer,(2022),18,534.0,8.0,NaN,109878.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,Daredevil,(2015– ),18,54.0,8.6,NaN,439572.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,Dark,(2017– ),16,60.0,8.7,NaN,378748.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
45,Deadwind,(2018–2021),16,45.0,7.3,NaN,10322.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
46,Decision to Leave,(2022),,139.0,7.3,84.0,15127.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
47,Demon Slayer: Kimetsu no Yaiba,(2019– ),Not Rated,24.0,8.7,NaN,101451.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,Desaparecida sin rastro (Last seen alive),(2022),18,95.0,5.6,NaN,17544.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
49,Desde dentro,(II) (2022),18,240.0,6.6,NaN,13570.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
50,Dexter,(2006–2013),18,53.0,8.7,NaN,724128.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
51,Doctor Sueño,(2019),16,152.0,7.3,59.0,193425.0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
52,Donnie Darko,(2001),13,113.0,8.0,88.0,800028.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
53,Dunkerque,(2017),12,106.0,7.8,94.0,654880.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
54,Déjame salir,(I) (2017),16,104.0,7.7,85.0,604753.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
