,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FANTASY,HISTORY,HORROR,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SPORT,THRILLER,W,WAR
0,'Allo 'Allo!,(1982–1992),,45.0,8.4,NaN,25564.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,12 valientes,(2018),16,130.0,6.5,54.0,82590.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,13 horas: Los soldados secretos de Bengasi,(2016),16,144.0,7.3,48.0,143953.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3,1917,(2019),12,119.0,8.2,78.0,583067.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
4,Acto de valor,(2012),16,110.0,6.4,40.0,69567.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5,Alejandro Magno,(2004),13,175.0,5.6,39.0,170604.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6,Aliados,(2016),12,124.0,7.1,60.0,158175.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
7,Apocalypse Now,(1979),18,147.0,8.5,94.0,665468.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
8,Barry Lyndon,(1975),18,185.0,8.1,89.0,168407.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9,Black Hawk derribado,(2001),13,144.0,7.7,74.0,397227.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10,Braveheart,(1995),18,178.0,8.4,68.0,1034904.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
11,Brothers (Hermanos),(I) (2009),16,105.0,7.1,58.0,128415.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
12,Cangrejo Negro,(2022),16,114.0,5.7,54.0,21021.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
13,Casablanca,(1942),A,102.0,8.5,100.0,570339.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
14,Castillo de arena,(2017),16,113.0,6.3,45.0,23927.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
15,Cold Mountain,(2003),18,154.0,7.2,73.0,149710.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
16,Corazones de acero,(2014),16,134.0,7.5,64.0,489912.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
17,Cuando éramos soldados,(2002),18,143.0,7.1,65.0,143075.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
18,Das Boot (El submarino),(2018– ),16,60.0,7.4,NaN,8110.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
19,"Deseo, peligro",(2007),18,157.0,7.5,61.0,42279.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
20,Devotion. Una historia de héroes,(II) (2022),PG-13,138.0,6.3,60.0,273.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
21,Dirilis: Ertugrul,(2014–2019),,120.0,7.9,NaN,37049.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,Doce del patíbulo,(1967),18,150.0,7.7,73.0,74217.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
23,Doctor Zhivago,(1965),13,197.0,7.9,69.0,77162.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
24,Dunkerque,(2017),12,106.0,7.8,94.0,654880.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
25,El Yang-Tsé en llamas,(1966),PG-13,182.0,7.6,NaN,15186.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
26,El arma del engaño,(2021),12,128.0,6.6,65.0,24334.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
27,El cazador,(1978),18,183.0,8.1,86.0,339572.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28,El desafío de las águilas,(1968),13,158.0,7.6,63.0,58778.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,El día más largo,(1962),A,178.0,7.7,75.0,56337.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
30,El espía inglés,(2020),12,112.0,7.1,65.0,61509.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
31,El ferrocarril subterráneo,(2021),16,593.0,7.4,NaN,7411.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
32,El francotirador,(2014),16,133.0,7.3,72.0,488050.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,El francotirador de Donbás,(2022),R,111.0,6.2,54.0,2537.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
34,El hundimiento,(2004),18,156.0,8.2,82.0,356059.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
35,El imperio del sol,(1987),A,153.0,7.7,62.0,126534.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
