,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,HORROR,I,M,MUSIC,MYSTERY,N,ROMANCE,SCI-FI,SHORT,WAR
0,(Des)encanto,(2018– ),13,30.0,7.2,NaN,61887.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Akira,(1988),13,124.0,8.0,67.0,186653.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Aladdín,(1992),A,90.0,8.0,86.0,418119.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Anastasia,(1997),T,94.0,7.1,61.0,124621.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,Anfibilandia,(2019–2022),TP,23.0,8.2,NaN,6206.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Arcane,(2021– ),16,41.0,9.0,NaN,201779.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Archer,(2009– ),18,22.0,8.6,NaN,154792.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Ataque a los titanes,(2013–2023),16,24.0,9.0,NaN,368039.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Atlantis: El imperio perdido,(2001),A,95.0,6.9,52.0,120719.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Avatar: La leyenda de Aang,(2005–2008),10,23.0,9.3,NaN,312208.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Batman y Superman: La Batalla de los Súper Hijos,(2022 Video),PG-13,79.0,6.8,NaN,1204.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11,Batman: La serie animada,(1992–1995),A,23.0,9.0,NaN,103665.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,Beavis and Butt-Head,(2022– ),,11.0,8.6,NaN,1367.0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
13,Bee and PuppyCat,(2013– ),12,7.0,8.2,NaN,2695.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Ben 10,(2005–2008),7,22.0,7.4,NaN,20594.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Beowulf,(2007),13,115.0,6.3,59.0,168791.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Berserk,(1997–1998),18,23.0,8.7,NaN,39347.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,Bichos: Una aventura en miniatura,(I) (1998),A,95.0,7.2,77.0,293269.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,Big Hero 6,(2014),A,102.0,7.8,74.0,460399.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Big Mouth,(2017– ),16,30.0,7.9,NaN,78513.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,Black Adam Precursor,(2020),,2.0,7.8,NaN,606.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
21,Black Clover,(2017–2021),12,24.0,8.3,NaN,23181.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Blancanieves y los siete enanitos,(1937),T,83.0,7.6,95.0,199945.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,Bleach: Burîchi,(2004–2012),13,24.0,8.2,NaN,55589.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Bleach: Thousand Year Blood War,(2022– ),,24.0,9.4,NaN,7034.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Blue Lock,(2022– ),,22.0,8.5,NaN,1357.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
26,Bluey,(2018– ),TP,7.0,9.7,NaN,9901.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
27,BoJack Horseman,(2014–2020),16,25.0,8.8,NaN,155332.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Bob Esponja,(1999– ),TP,23.0,8.2,NaN,98844.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
29,Bob's Burgers,(2011– ),A,22.0,8.2,NaN,81055.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Boruto: Naruto Next Generations,(2017– ),,23.0,6.8,NaN,21381.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,Brave (Indomable),(2012),A/i,93.0,7.1,69.0,411285.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Buscando a Nemo,(2003),A,100.0,8.2,90.0,1038450.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,Cabinet of curiosities,(2019– ),,NaN,6.5,NaN,9.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,Cars,(2006),A,117.0,7.2,73.0,420610.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,Casa Búho,(2020–2023),TP,22.0,8.3,NaN,11843.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Castlevania,(2017–2021),18,23.0,8.3,NaN,65543.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
