,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,F,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SHORT,T,THRILLER,WAR
0,13 fantasmas,(2001),13,91.0,5.6,30.0,88264.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1,1408,(2007),PG-13,104.0,6.8,64.0,275121.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
2,Alicia en el País de las Maravillas,(I) (2010),7,108.0,6.4,53.0,415043.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
3,Animales fantásticos: Los secretos de Dumbledore,(2022),7,142.0,6.2,47.0,133824.0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
4,Aquaman,(2018),12,143.0,6.8,55.0,471009.0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5,Aquaman and the Lost Kingdom,(2023),,NaN,NaN,NaN,NaN,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Arcane,(2021– ),16,41.0,9.0,NaN,201779.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Ataque a los titanes,(2013–2023),16,24.0,9.0,NaN,368039.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Avatar,(2009),7,162.0,7.8,83.0,1241893.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Avatar: El sentido del agua,(2022),,190.0,NaN,NaN,NaN,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10,Avatar: La leyenda de Aang,(2005–2008),10,23.0,9.3,NaN,312208.0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Barbie,(2023),,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12,Beetlejuice 2,,,NaN,NaN,NaN,NaN,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
13,Bitelchús,(1988),A,92.0,7.5,70.0,304410.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
14,Black Adam,(2022),12,125.0,7.1,41.0,88518.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
15,Black Adam Precursor,(2020),,2.0,7.8,NaN,606.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
16,Black Panther: Wakanda Forever,(2022),7,161.0,NaN,NaN,NaN,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
17,Blade of the 47 Ronin,(2022),R,107.0,4.7,NaN,488.0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
18,Bleach: Burîchi,(2004–2012),13,24.0,8.2,NaN,55589.0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,Bleach: Thousand Year Blood War,(2022– ),,24.0,9.4,NaN,7034.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,Bob Esponja,(1999– ),TP,23.0,8.2,NaN,98844.0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
21,Bruja Escarlata y Visión,(2021),9+,350.0,7.9,NaN,319896.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
22,"Buffy, cazavampiros",(1997–2003),13,44.0,8.3,NaN,147107.0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
23,"Buffy, la cazavampiros",(1992),13,86.0,5.6,48.0,45518.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
24,Caballero Luna,(2022),16,NaN,7.3,NaN,224363.0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
25,Carnival Row,(2019– ),16,56.0,7.8,NaN,62919.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
26,Casa Búho,(2020–2023),TP,22.0,8.3,NaN,11843.0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,Casper,(1995),A,100.0,6.1,49.0,135573.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
28,Cazafantasmas,(2016),A,117.0,6.9,60.0,232243.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
29,Cazafantasmas: Más allá,(2021),12,124.0,7.1,45.0,179402.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Chainsaw Man,(2022– ),,NaN,8.9,NaN,8795.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,Charlie y la fábrica de chocolate,(2005),A,115.0,6.7,72.0,479801.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
32,Coco,(I) (2017),A,105.0,8.4,81.0,501318.0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
33,Constantine,(2005),18,121.0,7.0,50.0,347156.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
34,Creepshow,(2019– ),Not Rated,44.0,7.0,NaN,7393.0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
35,Crepúsculo,(I) (2008),12,122.0,5.3,56.0,461410.0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
36,Crónicas vampíricas,(2009–2017),16,43.0,7.7,NaN,320567.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
37,DC Liga de Supermascotas,(2022),TP,105.0,7.3,56.0,59215.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,Daredevil,(2015–2018),18,54.0,8.6,NaN,438493.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
39,Death Note,(2006–2007),7,24.0,9.0,NaN,320447.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
40,Del revés (Inside Out),(I) (2015),A,95.0,8.2,94.0,708825.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Demon Slayer: Kimetsu no Yaiba,(2019– ),Not Rated,24.0,8.7,NaN,100653.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dentro del laberinto,(1986),A,101.0,7.3,50.0,137946.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
43,Desencantada: Vuelve Giselle,(2022),PG,NaN,NaN,NaN,NaN,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Destino: La saga Winx,(2021–2022),16,NaN,6.8,NaN,47261.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,Dobaaraa,(2022),,132.0,4.2,NaN,19087.0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
46,Doctor Strange en el multiverso de la locura,(2022),12,126.0,6.9,60.0,399981.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,Doctor Sueño,(2019),16,152.0,7.3,59.0,192544.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
48,Drácula 2001,(2000),13,99.0,4.9,26.0,34357.0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
49,Drácula de Bram Stoker,(1992),18,128.0,7.4,57.0,218491.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
50,Drácula: La leyenda jamás contada,(2014),16,92.0,6.2,40.0,196315.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
51,Dungeons & Dragons: Honor Among Thieves,(2023),,NaN,NaN,NaN,NaN,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,Déjame entrar,(2008),13,114.0,7.9,82.0,217963.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
53,Eduardo Manostijeras,(1990),A,105.0,7.9,74.0,489984.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
54,El Pacificador,(2022– ),16,40.0,8.3,NaN,108491.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,El cuervo,(1994),18,102.0,7.5,71.0,185096.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
56,El descubrimiento de las brujas,(2018–2022),12,60.0,7.9,NaN,53054.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
57,El faro,(I) (2019),16,109.0,7.4,83.0,215485.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
58,El hijo bastardo y el mismísimo diablo,(2022– ),16,60.0,7.4,NaN,1906.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
