,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,I,MUSICAL,MYSTERY,NEWS,O,REALITY-TV,ROMANCE,S,SPORT,T,THRILLER,WAR,WESTERN
0,'Allo 'Allo!,(1982–1992),,45.0,8.4,NaN,25523.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,12 años de esclavitud,(2013),16,134.0,8.1,96.0,698682.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,12 valientes,(2018),16,130.0,6.5,54.0,82366.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,13 horas: Los soldados secretos de Bengasi,(2016),16,144.0,7.3,48.0,143510.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1899,(2022– ),,60.0,9.1,NaN,1895.0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,21: Black Jack,(2008),13,123.0,6.8,48.0,252519.0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,A Plague Tale: Innocence,(2019 Video Game),,NaN,8.3,NaN,3390.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,A Plague Tale: Requiem,(2022 Video Game),,NaN,8.7,NaN,351.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,Aguas oscuras,(2019),7,126.0,7.6,73.0,88768.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,Alejandro Magno,(2004),13,175.0,5.6,39.0,170459.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Alienígenas,(2009– ),,42.0,7.1,NaN,11373.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,American Animals,(2018),R,116.0,7.0,68.0,45275.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,Amistad,(1997),T,155.0,7.3,63.0,77688.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,Ammonite,(2020),16,120.0,6.5,72.0,18585.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,Apolo 13,(I) (1995),A,140.0,7.7,77.0,295477.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,Aprendiz de caballero,(2003),9+,97.0,4.7,NaN,8169.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Arde Mississippi,(1988),18,128.0,7.8,65.0,101363.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,"Argentina, 1985",(2022),12,140.0,7.9,78.0,5716.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Arriba y abajo,(1971–1975),,60.0,8.4,NaN,3242.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Así nos ven,(2019),16,296.0,8.9,NaN,120735.0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Babylon,(I) (2022),,188.0,NaN,NaN,NaN,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Babylon Berlin,(2017– ),18,45.0,8.4,NaN,24572.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Becoming Elizabeth,(2022),,60.0,7.0,NaN,2205.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,Benedetta,(2021),16,131.0,6.8,73.0,19173.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Billy el Niño,(2022– ),,49.0,7.2,NaN,3874.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,Black Hawk derribado,(2001),13,144.0,7.7,74.0,396578.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Braveheart,(1995),18,178.0,8.4,68.0,1033712.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Britannia,(2017– ),18,60.0,6.8,NaN,16313.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Buscadores de fantasmas,(2008– ),,45.0,7.3,NaN,9426.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
29,Bárbaros,(2020– ),16,280.0,7.2,NaN,25824.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Calígula,(1979),X,137.0,5.3,NaN,36110.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Camino a la libertad,(I) (2010),7,133.0,7.3,66.0,117171.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,Cartas desde Iwo Jima,(2006),13,141.0,7.9,89.0,163311.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
