,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,MUSICAL,MYSTERY,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,THRILLER
0,13 fantasmas,(2001),13,91.0,5.6,30.0,88264.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,1408,(2007),PG-13,104.0,6.8,64.0,275121.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
2,1899,(2022– ),,60.0,9.1,NaN,1895.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
3,28 días después,(2002),18,113.0,7.5,73.0,414733.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
4,28 días paranormales,(2022– ),,30.0,3.4,NaN,1620.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
5,A serbian film,(2010),(Banned),104.0,5.0,NaN,64956.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
6,Abandoned,(III) (2022),PG-13,102.0,3.7,38.0,1245.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7,Abierto hasta el amanecer,(1996),18,108.0,7.2,48.0,315164.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
8,"Alien, el octavo pasajero",(1979),16,117.0,8.5,89.0,877043.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
9,American Horror Stories,(2021– ),18,45.0,6.2,NaN,21550.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
10,American Horror Story,(2011– ),18,60.0,8.0,NaN,317039.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
11,American Psycho,(2000),18,102.0,7.6,64.0,608609.0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
12,Antlers: Criatura oscura,(2021),16,99.0,5.9,57.0,38016.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
13,Ataque a los titanes,(2013–2023),16,24.0,9.0,NaN,368039.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,Babadook,(2014),16,94.0,6.8,86.0,225172.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
15,Barbarian,(2022),R,102.0,7.2,78.0,55031.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
16,Bates Motel,(2013–2017),16,45.0,8.1,NaN,108232.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
17,Beetlejuice 2,,,NaN,NaN,NaN,NaN,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
18,Black Phone,(2021),16,103.0,7.0,65.0,127515.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
