,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SHORT,TALK-SHOW,THRILLER,U
0,24 Hour Party People,(2002),18,117.0,7.3,85.0,37645.0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,54,(1998),R,93.0,5.8,33.0,33427.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,8 millas,(2002),18,110.0,7.2,77.0,289848.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3,9 Songs,(2004),18,71.0,4.8,43.0,22841.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
4,A Christmas Melody,(2015 TV Movie),,83.0,6.0,NaN,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
5,A Nashville Christmas Carol,(2020 TV Movie),,84.0,6.3,NaN,1150.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,A propósito de Llewyn Davis,(2013),12,104.0,7.4,93.0,154627.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,Across the Universe,(2007),7,133.0,7.3,56.0,110994.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,All That Jazz (Empieza el espectáculo),(1979),14,123.0,7.8,72.0,32285.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
9,All Too Well: The Short Film,(2021),,10.0,8.4,NaN,13176.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
10,Ally McBeal,(1997–2002),13,45.0,6.9,NaN,33751.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,Alta fidelidad,(2000),7,113.0,7.4,79.0,180948.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
