,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,M,MYSTERY,ROMANCE,S,SCI-FI,SHORT,T,THRILLER,WAR,Y
0,1899,(2022– ),,60.0,9.1,NaN,1895.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,A serbian film,(2010),(Banned),104.0,5.0,NaN,64956.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
2,A través del tiempo,(1989–1993),,60.0,8.2,NaN,32720.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,American Gigolo,(2022– ),,55.0,7.1,NaN,3502.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,American Horror Stories,(2021– ),18,45.0,6.2,NaN,21550.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
5,Annika,(2021– ),,NaN,7.0,NaN,4171.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6,Ant-Man y la Avispa: Quantumanía,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Antlers: Criatura oscura,(2021),16,99.0,5.9,57.0,38016.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8,Apocalypse Now,(1979),18,147.0,8.5,94.0,664506.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9,Arrow,(2012–2020),16,42.0,7.5,NaN,431036.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,Avatar: La leyenda de Aang,(2005–2008),10,23.0,9.3,NaN,312208.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,Babadook,(2014),16,94.0,6.8,86.0,225172.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12,Banshee,(2013–2016),18,60.0,8.4,NaN,104662.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,Bates Motel,(2013–2017),16,45.0,8.1,NaN,108232.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14,Big Little Lies,(2017–2019),18,60.0,8.5,NaN,197853.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,Big Sky,(2020– ),14,60.0,6.8,NaN,20254.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
16,Black Mirror,(2011–2019),16,60.0,8.8,NaN,541145.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
17,Blade Runner 2049,(2017),12,164.0,8.0,81.0,565715.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
18,Blue Bloods,(2010– ),12,43.0,7.7,NaN,40543.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
19,Bones,(2005–2017),12,40.0,7.8,NaN,159279.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
