,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,H,HISTORY,HORROR,MUSIC,MUSICAL,MYSTERY,NEWS,O,R,ROMANCE,S,SCI-FI,SHORT,SPORT,T,THRILLER,WESTERN
0,38 at the Garden,(2022),,38.0,7.2,NaN,468.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,50 States of Fright,(2020– ),,7.0,6.5,NaN,1582.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,A Cabinet of Curiosities,(2021),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,A Story Takes Flight,(2019),,8.0,4.4,NaN,61.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4,Adult Night,(2020),,11.0,7.5,NaN,72.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5,Alice's Wonderland Bakery,(2022– ),,22.0,7.5,NaN,135.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6,All Too Well: The Short Film,(2021),,10.0,8.4,NaN,13176.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
7,American Horror Story: AntiChrist,(2021 Video),,NaN,8.8,NaN,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
8,Animaniacs,(1993–1998),TP,21.0,7.9,NaN,24012.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,Animaniacs,(2020– ),,27.0,7.8,NaN,3264.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10,Arthur,(1996–2022),,30.0,7.4,NaN,14415.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,"As Above, So Below: The Underworld of 'John Wick'",(2017 Video),,5.0,7.7,NaN,12258.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
12,Avengers: Quantum Encounter,(2022),,13.0,7.0,NaN,46.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
13,Baymax!,(2022– ),10,12.0,7.0,NaN,6500.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Bee and PuppyCat,(2013– ),12,7.0,8.2,NaN,2695.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
15,Beetlejuice,(1989–1991),,22.0,7.3,NaN,7409.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Beetlejuice 2,(2014),,3.0,5.9,NaN,89.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17,Ben 10,(2016–2021),TP,12.0,2.9,NaN,4963.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Better Call Saul presents: Slippin' Jimmy,(2022– ),,8.0,2.7,NaN,1030.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Bingo y Rolly,(2017– ),,24.0,6.9,NaN,1106.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,Black Adam Precursor,(2020),,2.0,7.8,NaN,606.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
21,Black Butterflies,(I) (2022),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
22,Black Panther: Origins,(2020),,NaN,5.6,NaN,423.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
23,Blaze y los Monster Machines,(2014–2022),,22.0,5.7,NaN,887.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
24,Blue Christmas,(2017),,15.0,8.2,NaN,25.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
25,Bob Hearts Abishola,(2019– ),,21.0,6.9,NaN,4241.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
26,Boop,(2011),,3.0,5.8,NaN,109.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
