,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,HISTORY,MYSTERY,O,P,R,ROMANCE,S,SCI-FI,SPORT,T,TALK-SHOW,THRILLER
0,17 otra vez,(2009),13,102.0,6.4,48.0,202216.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,30 for 30,(2009– ),,60.0,8.8,NaN,5068.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,42: La verdadera historia de una leyenda del deporte,(2013),7,128.0,7.5,62.0,95846.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,83,(2021),7,162.0,7.5,NaN,37505.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4,A por todas,(2000),A,98.0,6.1,52.0,97363.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
5,A por todas: Todo o nada,(2006 Video),13,99.0,5.5,NaN,21094.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6,Acero puro,(2011),A,127.0,7.0,56.0,329525.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
7,Ahora o nunca,(2009–2012),,45.0,7.5,NaN,10120.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8,Airborne,(1993),PG,91.0,6.2,28.0,7087.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9,Ali,(2001),13,157.0,6.7,65.0,100299.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10,All American,(2018– ),16,45.0,7.6,NaN,11504.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11,All American: Homecoming,(2022– ),,42.0,6.1,NaN,806.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
12,American Underdog,(2021),PG,112.0,7.1,53.0,14927.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
13,Aoashi,(2022– ),,24.0,8.2,NaN,1601.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,Aviones,(2013),A,91.0,5.7,39.0,45689.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,Baki,(2018–2020),,45.0,6.7,NaN,6477.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,Ballers,(2015–2019),18,30.0,7.6,NaN,44570.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
17,Baseketball,(1998),13,103.0,6.5,38.0,62642.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
18,Billy Lynn,(2016),12,113.0,6.2,53.0,22905.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19,Blue Lock,(2022– ),,22.0,8.5,NaN,1357.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20,Blue Mountain State,(2010–2011),,22.0,8.3,NaN,54089.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
21,Boyka: Invicto 4,(2016 Video),R,86.0,6.9,NaN,29466.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22,Breath,(I) (2017),,115.0,6.7,71.0,3477.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
23,Brockmire,(2017–2020),,30.0,8.0,NaN,5770.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
24,Bronce,(2015),R,100.0,6.1,44.0,12775.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
25,"Burt Munro. Un sueño, una leyenda",(2005),TP,127.0,7.8,68.0,55342.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
