,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,I,L,MYSTERY,R,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
0,28 días después,(2002),18,113.0,7.5,73.0,414733.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
1,9-1-1,(2018– ),16,43.0,7.8,NaN,34167.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,Ambulance: Plan de huida,(2022),16,136.0,6.1,55.0,66752.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,American Gigolo,(2022– ),,55.0,7.1,NaN,3502.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,American Horror Stories,(2021– ),18,45.0,6.2,NaN,21550.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5,American Horror Story,(2011– ),18,60.0,8.0,NaN,317039.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
6,American Murderer,(2022),16,102.0,4.8,NaN,378.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7,Andor,(2022– ),14,40.0,8.2,NaN,43078.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,Ant-Man y la Avispa: Quantumanía,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,Atenea,(2022),16,99.0,6.8,72.0,11251.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,Babylon Berlin,(2017– ),18,45.0,8.4,NaN,24572.0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11,Banshee,(2013–2016),18,60.0,8.4,NaN,104662.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,Barbarian,(2022),R,102.0,7.2,78.0,55031.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
13,Big Sky,(2020– ),14,60.0,6.8,NaN,20254.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
