,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FANTASY,HISTORY,HORROR,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SPORT,THRILLER,W,WAR
0,'Allo 'Allo!,(1982–1992),,45.0,8.4,NaN,25523.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,12 valientes,(2018),16,130.0,6.5,54.0,82366.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,13 horas: Los soldados secretos de Bengasi,(2016),16,144.0,7.3,48.0,143510.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
3,1917,(2019),12,119.0,8.2,78.0,580488.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
4,A través de la noche,(1942),,107.0,7.1,NaN,4475.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Al Kameen,(2021),R,102.0,6.9,NaN,1191.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6,Alejandro Magno,(2004),13,175.0,5.6,39.0,170459.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7,Aliados,(2016),12,124.0,7.1,60.0,157901.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8,Apocalypse Now,(1979),18,147.0,8.5,94.0,664506.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
9,Barry Lyndon,(1975),18,185.0,8.1,89.0,168033.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
10,Black Hawk derribado,(2001),13,144.0,7.7,74.0,396578.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
11,Braveheart,(1995),18,178.0,8.4,68.0,1033712.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
12,Brothers (Hermanos),(I) (2009),16,105.0,7.1,58.0,128003.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
13,Cangrejo Negro,(2022),16,114.0,5.7,54.0,20845.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
14,Casablanca,(1942),A,102.0,8.5,100.0,569567.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
15,Cold Mountain,(2003),18,154.0,7.2,73.0,149543.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
16,Corazones de acero,(2014),16,134.0,7.5,64.0,488469.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
17,Creadores de sombras,(1989),,127.0,6.5,50.0,7867.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
18,Cuando te encuentre,(2012),A,101.0,6.4,39.0,109181.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
19,Cuando éramos soldados,(2002),18,143.0,7.1,65.0,142828.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
20,Das Boot (El submarino),(2018– ),16,60.0,7.4,NaN,8078.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
21,De aquí a la eternidad,(1953),18,118.0,7.6,85.0,47388.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
